smiles,source,generator,batch_id,pce_pred,pce_relative_score,validity_score,sa_component_score,molecule_score,availability_score,dft_alignment_score,functional_group_score,feasibility_score,agent_score,dft_homo,dft_lumo,dft_gap,dft_mu,dft_alpha,sa_score,qed,novelty,multi_score,pareto_rank,purchasable,pubchem_cid,scaffold,can
O=C(O)c1ccc(-c2cccc3ncccc23)cc1,batch_4,llm_gen,4,19.52203369140625,0.9340395475070176,1.0,0.7972560398041816,0.9269572419860324,0.7000000000000001,1.0,1.0,0.8631744949581569,0.9078224178776696,-6.858498573303223,-2.361096143722534,4.495617866516113,2.9660768508911133,,1.6082318805874554,0.7544966330543793,,0.9078224178776696,,,,c1ccc(-c2cccc3ncccc23)cc1,O=C(O)c1ccc(-c2cccc3ncccc23)cc1
O=C(O)c1ccc(C(=O)c2cccc3ncccc23)cc1,batch_4,llm_gen,4,19.52203369140625,0.9340395475070176,1.0,0.7687503316508154,0.9241066711706958,0.7000000000000001,0.8509973697423058,1.0,0.8197384471129179,0.8927962039533623,-6.859529495239258,-2.284499168395996,4.687870025634766,2.8131144046783447,,1.693749005047554,0.7465940311822755,,0.8927962039533623,,,,O=C(c1ccccc1)c1cccc2ncccc12,O=C(O)c1ccc(C(=O)c2cccc3ncccc23)cc1
Nc1ccc(C(=O)c2cccc3ncccc23)cc1,batch_4,llm_gen,4,19.510543823242188,0.9334898101471442,1.0,0.751649326517469,0.9219567807694622,0.7000000000000001,0.9522887999616796,1.0,0.8220503011089978,0.8919848368713228,-6.140224456787109,-1.2803963422775269,4.5586371421813965,3.758758068084717,,1.7450520204475932,0.5598540074571854,,0.8919848368713228,,,,O=C(c1ccccc1)c1cccc2ncccc12,Nc1ccc(C(=O)c2cccc3ncccc23)cc1
Cc1cc(C(=O)O)ccc1-c1cccc2ncccc12,batch_4,llm_gen,4,19.828449249267575,0.9487001230155978,1.0,0.7429411586212075,0.933254214274599,0.7000000000000001,0.7248746304331092,1.0,0.7955553470264388,0.8919445541001508,-6.695216655731201,-1.4917558431625366,4.882187366485596,3.0322108268737797,,1.7711765241363775,0.7622445961210764,,0.8919445541001508,,,,c1ccc(-c2cccc3ncccc23)cc1,Cc1cc(C(=O)O)ccc1-c1cccc2ncccc12
O=C(O)c1cccc2ncccc12,batch_2,llm_gen,2,19.52203369140625,0.9340395475070176,1.0,0.8119498823601905,0.9284266262416332,0.7000000000000001,0.7744033151890304,1.0,0.8060555907596767,0.8917153155970462,-6.889316082000732,-2.284499168395996,4.800774097442627,2.9319169521331787,,1.5641503529194285,0.7163650797494611,,0.8917153155970462,,,,c1ccc2ncccc2c1,O=C(O)c1cccc2ncccc12
O=C(O)c1nccc2ccccc12,batch_5,llm_gen,5,19.595687866210938,0.9375635611007888,1.0,0.7439253501356582,0.9244433838941968,0.7000000000000001,0.7745852666584251,1.0,0.8061010786270253,0.8889406923140453,-6.910326480865479,-2.5084316730499268,4.800487995147705,2.9100308418273926,,1.7682239495930254,0.7163650797494611,,0.8889406923140453,,,,c1ccc2cnccc2c1,O=C(O)c1nccc2ccccc12
N#Cc1ccc(-c2cccc3ncccc23)cc1,batch_4,llm_gen,4,20.1607666015625,0.964599980288302,1.0,0.7522857143161931,0.9469085556622608,0.7000000000000001,0.8721833290221974,0.6666666666666666,0.7520189198716992,0.8884416649250924,-7.336896896362305,-2.2648494243621826,4.659097671508789,4.173232555389404,,1.7431428570514207,0.6375983618854437,,0.8884416649250924,,,,c1ccc(-c2cccc3ncccc23)cc1,N#Cc1ccc(-c2cccc3ncccc23)cc1
NC(=O)c1ccc(-c2cccc3ncccc23)cc1,batch_4,llm_gen,4,19.510543823242188,0.9334898101471442,1.0,0.781452962881105,0.924937144405826,0.7000000000000001,0.7564391668450571,1.0,0.8027368329929307,0.8882770509819573,-6.691549301147461,-1.3252496719360352,4.8294758796691895,3.2836194038391118,,1.655641111356685,0.7575136085444435,,0.8882770509819573,,,,c1ccc(-c2cccc3ncccc23)cc1,NC(=O)c1ccc(-c2cccc3ncccc23)cc1
Nc1ccc(-c2cccc3ncccc23)c(C(=O)O)c1,batch_4,llm_gen,4,19.52203369140625,0.9340395475070176,1.0,0.6935889319005604,0.9165905311956702,0.7000000000000001,0.8564733929713577,1.0,0.8186424753991547,0.8872061144567155,-6.155511379241943,-1.2803963422775269,4.680337905883789,3.894512891769409,,1.919233204298319,0.6968275143754353,,0.8872061144567155,,,,c1ccc(-c2cccc3ncccc23)cc1,Nc1ccc(-c2cccc3ncccc23)c(C(=O)O)c1
O=C(O)c1cc(Cl)ccc1-c1cccc2ncccc12,batch_4,llm_gen,4,19.52203369140625,0.9340395475070176,1.0,0.7283541140867952,0.9200670494142936,0.7000000000000001,0.7708869715592932,1.0,0.8074079960425917,0.8862693334027831,-6.8947834968566895,-2.284499168395996,4.806321144104004,3.0145130157470703,,1.8149376577396144,0.7645750210184569,,0.8862693334027831,,,,c1ccc(-c2cccc3ncccc23)cc1,O=C(O)c1cc(Cl)ccc1-c1cccc2ncccc12
